Return [%],Sharpe,Max DD [%],Win Rate [%],Trades,Profit Factor,Asset,Strategy,Period
93.15,1.53,-11.67,90.91,22,4.71,BTC,VolumetricBollinger,P1 (2023-01 to 2024-06)
5.41,0.13,-30.76,71.43,21,1.18,BTC,VolumetricBollinger,P2 (2024-07 to 2026-02)
12.9,1.66,-2.86,94.44,18,8.0,BTC,RangeBoundPut,P1 (2023-01 to 2024-06)
3.89,0.53,-4.96,75.0,16,1.41,BTC,RangeBoundPut,P2 (2024-07 to 2026-02)
70.18,1.14,-15.8,89.47,19,4.0,ETH,VolumetricBollinger,P1 (2023-01 to 2024-06)
-16.6,-0.31,-39.31,67.35,49,0.97,ETH,VolumetricBollinger,P2 (2024-07 to 2026-02)
9.41,1.15,-4.33,88.24,17,3.53,ETH,RangeBoundPut,P1 (2023-01 to 2024-06)
-4.77,-0.45,-11.59,63.89,36,0.83,ETH,RangeBoundPut,P2 (2024-07 to 2026-02)
243.66,1.15,-28.4,78.65,89,1.73,SOL,VolumetricBollinger,P1 (2023-01 to 2024-06)
-31.61,-0.61,-50.72,65.57,61,0.9,SOL,VolumetricBollinger,P2 (2024-07 to 2026-02)
24.22,1.5,-6.25,79.1,67,1.78,SOL,RangeBoundPut,P1 (2023-01 to 2024-06)
-10.14,-0.89,-16.64,61.22,49,0.74,SOL,RangeBoundPut,P2 (2024-07 to 2026-02)
