entry_time,entry_price,exit_time,exit_price,pnl_usd,pnl_pct,reason,size_usd
2026-02-20 00:00:00,67236.0,2026-02-20 11:00:00,67285.0,8.75,0.22,SIGNAL,12000.0
2026-02-20 22:00:00,68054.0,2026-02-21 03:00:00,67632.0,-74.48,-1.86,SIGNAL,12010.49
2026-02-21 09:00:00,68113.0,2026-02-21 20:00:00,68176.0,11.03,0.28,SIGNAL,11921.12
2026-02-21 21:00:00,68339.0,2026-02-21 22:00:00,67940.0,-69.68,-1.75,SIGNAL,11934.35
2026-02-22 11:00:00,68180.0,2026-02-22 13:00:00,67622.0,-96.99,-2.46,SIGNAL,11850.74
2026-02-23 09:00:00,66370.0,2026-02-23 10:00:00,66290.0,-14.14,-0.36,SIGNAL,11734.35
2026-02-23 12:00:00,66235.0,2026-02-23 14:00:00,65892.0,-60.68,-1.55,SIGNAL,11717.38
2026-02-24 15:00:00,63957.0,2026-02-25 01:00:00,65662.51999999999,310.52,8.0,TP,11644.56
2026-02-25 02:00:00,65854.0,2026-02-25 03:00:00,65356.0,-90.88,-2.27,SIGNAL,12017.19
2026-02-25 04:00:00,65427.0,2026-02-25 05:00:00,64851.0,-104.84,-2.64,SIGNAL,11908.14
2026-02-25 08:00:00,65494.0,2026-02-25 10:00:00,65371.0,-22.13,-0.56,SIGNAL,11782.34
2026-02-25 12:00:00,66040.0,2026-02-25 16:00:00,67801.06666666667,313.49,8.0,TP,11755.78
2026-02-25 17:00:00,68624.0,2026-02-25 19:00:00,68994.0,65.41,1.62,SIGNAL,12131.97
2026-02-25 20:00:00,69096.0,2026-02-25 21:00:00,68881.0,-37.99,-0.93,SIGNAL,12210.46
2026-02-27 05:00:00,67690.0,2026-02-27 09:00:00,67337.0,-63.44,-1.56,SIGNAL,12164.87
2026-02-28 00:00:00,65908.0,2026-02-28 01:00:00,65744.0,-30.08,-0.75,SIGNAL,12088.74
2026-02-28 02:00:00,65929.0,2026-02-28 06:00:00,64830.18333333333,-200.88,-5.0,SL,12052.65
2026-02-28 13:00:00,65063.0,2026-02-28 14:00:00,64397.0,-120.91,-3.07,SIGNAL,11811.59
2026-02-28 16:00:00,65065.0,2026-02-28 20:00:00,66800.06666666667,311.11,8.0,TP,11666.51
2026-02-28 21:00:00,66681.0,2026-03-01 00:00:00,66762.0,14.63,0.36,SIGNAL,12039.83
2026-03-01 01:00:00,67316.0,2026-03-01 06:00:00,66901.0,-74.33,-1.85,SIGNAL,12057.38
2026-03-02 00:00:00,66469.0,2026-03-02 07:00:00,65968.0,-90.21,-2.26,SIGNAL,11968.18
2026-03-02 14:00:00,67142.0,2026-03-02 15:00:00,68932.45333333332,316.26,8.0,TP,11859.93
2026-03-02 16:00:00,69385.0,2026-03-02 19:00:00,68916.0,-82.73,-2.03,SIGNAL,12239.45
2026-03-02 20:00:00,69076.0,2026-03-02 23:00:00,68774.0,-53.08,-1.31,SIGNAL,12140.17
2026-03-03 16:00:00,68154.0,2026-03-04 03:00:00,67695.0,-81.33,-2.02,SIGNAL,12076.48
2026-03-04 06:00:00,68478.0,2026-03-04 08:00:00,70304.08,319.44,8.0,TP,11978.88
2026-03-04 09:00:00,71474.0,2026-03-04 11:00:00,71077.0,-68.67,-1.67,SIGNAL,12362.21
2026-03-04 12:00:00,71293.0,2026-03-04 15:00:00,73194.14666666667,327.46,8.0,TP,12279.81
2026-03-04 16:00:00,73231.0,2026-03-04 19:00:00,73562.0,57.28,1.36,SIGNAL,12672.76
2026-03-05 10:00:00,73346.0,2026-03-05 12:00:00,72851.0,-85.99,-2.02,SIGNAL,12741.5
2026-03-08 08:00:00,67501.0,2026-03-08 17:00:00,67016.0,-90.81,-2.16,SIGNAL,12638.31
2026-03-09 05:00:00,67871.0,2026-03-09 06:00:00,67228.0,-118.7,-2.84,SIGNAL,12529.34
2026-03-09 07:00:00,67513.0,2026-03-09 14:00:00,69313.34666666666,330.32,8.0,TP,12386.9
2026-03-09 15:00:00,68832.0,2026-03-09 18:00:00,68311.0,-96.76,-2.27,SIGNAL,12783.28
2026-03-09 19:00:00,68953.0,2026-03-09 22:00:00,68587.0,-67.24,-1.59,SIGNAL,12667.17
2026-03-10 00:00:00,69117.0,2026-03-10 08:00:00,70960.12,335.64,8.0,TP,12586.49
2026-03-10 09:00:00,71024.0,2026-03-10 11:00:00,70555.0,-85.77,-1.98,SIGNAL,12989.25
2026-03-10 14:00:00,71448.0,2026-03-10 17:00:00,70825.0,-112.36,-2.62,SIGNAL,12886.33
2026-03-11 13:00:00,70143.0,2026-03-11 15:00:00,70180.0,6.73,0.16,SIGNAL,12751.49
2026-03-11 16:00:00,70534.0,2026-03-11 22:00:00,70323.0,-38.17,-0.9,SIGNAL,12759.56
